date,protocol,active_loans,market_share
2018-09-27,compound,3390,1.00000000
2018-09-28,compound,9516,1.00000000
2018-09-29,compound,38128,1.00000000
2018-09-30,compound,42097,1.00000000
2018-10-01,compound,47477,1.00000000
2018-10-02,compound,49685,1.00000000
2018-10-03,compound,50595,1.00000000
2018-10-04,compound,47758,1.00000000
2018-10-05,compound,50517,1.00000000
2018-10-06,compound,52898,1.00000000
2018-10-07,compound,51005,1.00000000
2018-10-08,compound,49778,1.00000000
2018-10-09,compound,53136,1.00000000
2018-10-10,compound,60786,1.00000000
2018-10-11,compound,63952,1.00000000
2018-10-12,compound,54803,1.00000000
2018-10-13,compound,58011,1.00000000
2018-10-14,compound,59328,1.00000000
2018-10-15,compound,56391,1.00000000
2018-10-16,compound,60417,1.00000000
2018-10-17,compound,64442,1.00000000
2018-10-18,compound,353028,1.00000000
2018-10-19,compound,172110,1.00000000
2018-10-20,compound,175590,1.00000000
2018-10-21,compound,176682,1.00000000
2018-10-22,compound,181537,1.00000000
2018-10-23,compound,186014,1.00000000
2018-10-24,compound,189531,1.00000000
2018-10-25,compound,192985,1.00000000
2018-10-26,compound,162875,1.00000000
2018-10-27,compound,122539,1.00000000
2018-10-28,compound,142084,1.00000000
2018-10-29,compound,153604,1.00000000
2018-10-30,compound,128193,1.00000000
2018-10-31,compound,130591,1.00000000
2018-11-01,compound,127134,1.00000000
2018-11-02,compound,131566,1.00000000
2018-11-03,compound,131821,1.00000000
2018-11-04,compound,192393,1.00000000
2018-11-05,compound,180486,1.00000000
2018-11-06,compound,178772,1.00000000
2018-11-07,compound,183916,1.00000000
2018-11-08,compound,185533,1.00000000
2018-11-09,compound,143183,1.00000000
2018-11-10,compound,115481,1.00000000
2018-11-11,compound,126879,1.00000000
2018-11-12,compound,129311,1.00000000
2018-11-13,compound,334967,1.00000000
2018-11-14,compound,328234,1.00000000
2018-11-15,compound,92958,1.00000000
2018-11-16,compound,92675,1.00000000
2018-11-17,compound,93645,1.00000000
2018-11-18,compound,92381,1.00000000
2018-11-19,compound,94262,1.00000000
2018-11-20,compound,80050,1.00000000
2018-11-21,compound,744119,1.00000000
2018-11-22,compound,1075988,1.00000000
2018-11-23,compound,1040621,1.00000000
2018-11-24,compound,1273653,1.00000000
2018-11-25,compound,1738979,1.00000000
2018-11-26,compound,1936659,1.00000000
2018-11-27,compound,1558478,1.00000000
2018-11-28,compound,1394953,1.00000000
2018-11-29,compound,1783875,1.00000000
2018-11-30,compound,1325529,1.00000000
2018-12-01,compound,729966,1.00000000
2018-12-02,compound,847217,1.00000000
2018-12-03,compound,880327,1.00000000
2018-12-04,compound,1245706,1.00000000
2018-12-05,compound,1734652,1.00000000
2018-12-06,compound,1724857,1.00000000
2018-12-07,compound,1962253,1.00000000
2018-12-08,compound,1996331,1.00000000
2018-12-09,compound,1999894,1.00000000
2018-12-10,compound,1931987,1.00000000
2018-12-11,compound,1935820,1.00000000
2018-12-12,compound,1934301,1.00000000
2018-12-13,compound,1934795,1.00000000
2018-12-14,compound,1926216,1.00000000
2018-12-15,compound,1934500,1.00000000
2018-12-16,compound,1900167,1.00000000
2018-12-17,compound,1872327,1.00000000
2018-12-18,compound,1813332,1.00000000
2018-12-19,compound,1783470,1.00000000
2018-12-20,compound,1835815,1.00000000
2018-12-21,compound,1842970,1.00000000
2018-12-22,compound,1822016,1.00000000
2018-12-23,compound,1929604,1.00000000
2018-12-24,compound,1911706,1.00000000
2018-12-25,compound,2105527,1.00000000
2018-12-26,compound,2111674,1.00000000
2018-12-27,compound,2280938,1.00000000
2018-12-28,compound,2291129,1.00000000
2018-12-29,compound,2292554,1.00000000
2018-12-30,compound,2194415,1.00000000
2018-12-31,compound,2216833,1.00000000
2019-01-01,compound,2201058,1.00000000
2019-01-02,compound,2203698,1.00000000
2019-01-03,compound,2186041,1.00000000
2019-01-04,compound,2594878,1.00000000
2019-01-05,compound,2650176,1.00000000
2019-01-06,compound,2659850,1.00000000
2019-01-07,compound,2651114,1.00000000
2019-01-08,compound,2656817,1.00000000
2019-01-09,compound,2524179,1.00000000
2019-01-10,compound,2515788,1.00000000
2019-01-11,compound,2567933,1.00000000
2019-01-12,compound,2552505,1.00000000
2019-01-13,compound,2689465,1.00000000
2019-01-14,compound,2635684,1.00000000
2019-01-15,compound,2679368,1.00000000
2019-01-16,compound,2623330,1.00000000
2019-01-17,compound,2730716,1.00000000
2019-01-18,compound,2719499,1.00000000
2019-01-19,compound,2691433,1.00000000
2019-01-20,compound,2602742,1.00000000
2019-01-21,compound,2540599,1.00000000
2019-01-22,compound,2528627,1.00000000
2019-01-23,compound,2543542,1.00000000
2019-01-24,compound,2591763,1.00000000
2019-01-25,compound,2607718,1.00000000
2019-01-26,compound,2634241,1.00000000
2019-01-27,compound,2651022,1.00000000
2019-01-28,compound,2659589,1.00000000
2019-01-29,compound,2588945,1.00000000
2019-01-30,compound,2559773,1.00000000
2019-01-31,compound,2690981,1.00000000
2019-02-01,compound,2671672,1.00000000
2019-02-02,compound,2702635,1.00000000
2019-02-03,compound,2586938,1.00000000
2019-02-04,compound,2592949,1.00000000
2019-02-05,compound,2593086,1.00000000
2019-02-06,compound,2586998,1.00000000
2019-02-07,compound,2582724,1.00000000
2019-02-08,compound,2587737,1.00000000
2019-02-09,compound,2648725,1.00000000
2019-02-10,compound,2615645,1.00000000
2019-02-11,compound,2576333,1.00000000
2019-02-12,compound,2576445,1.00000000
2019-02-13,compound,2583147,1.00000000
2019-02-14,compound,2578709,1.00000000
2019-02-15,compound,2571437,1.00000000
2019-02-16,compound,2613873,1.00000000
2019-02-17,compound,2577131,1.00000000
2019-02-18,compound,2594913,1.00000000
2019-02-19,compound,2516098,1.00000000
2019-02-20,compound,2523985,1.00000000
2019-02-21,compound,2486613,1.00000000
2019-02-22,compound,2555931,1.00000000
2019-02-23,compound,2548208,1.00000000
2019-02-24,compound,2584482,1.00000000
2019-02-25,compound,2528559,1.00000000
2019-02-26,compound,2593795,1.00000000
2019-02-27,compound,2632685,1.00000000
2019-02-28,compound,2611499,1.00000000
2019-03-01,compound,2613373,1.00000000
2019-03-02,compound,2596692,1.00000000
2019-03-03,compound,2635712,1.00000000
2019-03-04,compound,2621636,1.00000000
2019-03-05,compound,2616702,1.00000000
2019-03-06,compound,2624119,1.00000000
2019-03-07,compound,2747591,1.00000000
2019-03-08,compound,2670406,1.00000000
2019-03-09,compound,2706800,1.00000000
2019-03-10,compound,2755323,1.00000000
2019-03-11,compound,2749403,1.00000000
2019-03-12,compound,2803833,1.00000000
2019-03-13,compound,2808785,1.00000000
2019-03-14,compound,2822969,1.00000000
2019-03-15,compound,2847374,1.00000000
2019-03-16,compound,2850188,1.00000000
2019-03-17,compound,2878988,1.00000000
2019-03-18,compound,2857529,1.00000000
2019-03-19,compound,2798217,1.00000000
2019-03-20,compound,2787849,1.00000000
2019-03-21,compound,2777502,1.00000000
2019-03-22,compound,2778945,1.00000000
2019-03-23,compound,3076427,1.00000000
2019-03-24,compound,3084908,1.00000000
2019-03-25,compound,3090003,1.00000000
2019-03-26,compound,3062866,1.00000000
2019-03-27,compound,3178510,1.00000000
2019-03-28,compound,3210328,1.00000000
2019-03-29,compound,3200999,1.00000000
2019-03-30,compound,3316934,1.00000000
2019-03-31,compound,3221059,1.00000000
2019-04-01,compound,3240650,1.00000000
2019-04-02,compound,3164470,1.00000000
2019-04-03,compound,3245321,1.00000000
2019-04-04,compound,3210364,1.00000000
2019-04-05,compound,3203098,1.00000000
2019-04-06,compound,3237279,1.00000000
2019-04-07,compound,3281872,1.00000000
2019-04-08,compound,3288993,1.00000000
2019-04-09,compound,3212314,1.00000000
2019-04-10,compound,3182256,1.00000000
2019-04-11,compound,4121267,1.00000000
2019-04-12,compound,4318846,1.00000000
2019-04-13,compound,4434368,1.00000000
2019-04-14,compound,4482523,1.00000000
2019-04-15,compound,4530144,1.00000000
2019-04-16,compound,4488203,1.00000000
2019-04-17,compound,4539334,1.00000000
2019-04-18,compound,4310997,1.00000000
2019-04-19,compound,4398137,1.00000000
2019-04-20,compound,4220362,1.00000000
2019-04-21,compound,4241359,1.00000000
2019-04-22,compound,4334161,1.00000000
2019-04-23,compound,4341724,1.00000000
2019-04-24,compound,4361779,1.00000000
2019-04-25,compound,4397538,1.00000000
2019-04-26,compound,4429485,1.00000000
2019-04-27,compound,4643972,1.00000000
2019-04-28,compound,4552234,1.00000000
2019-04-29,compound,4592578,1.00000000
2019-04-30,compound,5012293,1.00000000
2019-05-01,compound,4992818,1.00000000
2019-05-02,compound,4982087,1.00000000
2019-05-03,compound,5020966,1.00000000
2019-05-04,compound,5015102,1.00000000
2019-05-05,compound,5016356,1.00000000
2019-05-06,compound,5086183,1.00000000
2019-05-07,compound,5317047,1.00000000
2019-05-08,compound,5288973,1.00000000
2019-05-09,compound,5310199,1.00000000
2019-05-10,compound,5123713,1.00000000
2019-05-11,compound,5282974,1.00000000
2019-05-12,compound,5243322,1.00000000
2019-05-13,compound,5557547,1.00000000
2019-05-14,compound,5590920,1.00000000
2019-05-15,compound,5744838,1.00000000
2019-05-16,compound,5929451,1.00000000
2019-05-17,compound,5433138,1.00000000
2019-05-18,compound,5242130,1.00000000
2019-05-19,compound,5416275,1.00000000
2019-05-20,compound,5647745,1.00000000
2019-05-21,compound,6198050,1.00000000
2019-05-22,compound,5935406,1.00000000
2019-05-23,compound,5828067,1.00000000
2019-05-24,compound,4797119,1.00000000
2019-05-25,compound,2332889,1.00000000
2019-05-26,compound,2306005,1.00000000
2019-05-27,compound,2159194,1.00000000
2019-05-28,compound,2112767,1.00000000
