date,protocol,name,category,active_loans,revenue_ttm,revenue_annualized,earnings_ttm,earnings_annualized,active_loans_90d_ago,revenue_90d_ago,earnings_90d_ago
2026-08-29,0vix,0vix,Lending,0,,135923.6417033774,,39056.07669616519,0,,
2026-08-29,0xlend,0xLend,Lending,176.03124787795713,,,,,171,,
2026-08-29,246club,246Club,Lending,2800.070868703344,,,,,2787,,
2026-08-29,3f,3F,RWA Lending,0,10481.02,30851.389516129035,9494.02,27946.107258064516,,5430.757575757576,5430.757575757576
2026-08-29,3jane-lending,3Jane Lending,Uncollateralized Lending,66689176.56599634,327140,327140,0,0,19913828,277044.29090909095,0
2026-08-29,40-acres,40 Acres,Lending,9329492.446897553,1451636.02,1451636.02,526091.02,526091.02,10223074,1784333,633532
2026-08-29,88mph,88mph,Lending,0,,,,,,,
2026-08-29,8lends,8lends,RWA Lending,11992532.651818568,,,,,9329885,,
2026-08-29,aave-aptos,Aave Aptos,Lending,28937.07549168881,,,,,798242,,
2026-08-29,aave-arc,Aave Arc,Lending,0,,,,,0,,
2026-08-29,aave-horizon-rwa,Aave Horizon RWA,RWA Lending,124660272.2666045,,,,,173095504,,
2026-08-29,aave-v1,Aave V1,Lending,58763.93285773433,,,,,47730,,
2026-08-29,aave-v2,Aave V2,Lending,18881457.693736494,1581380,1581380,1383369,1383369,18444041,1503933,1259109
2026-08-29,aave-v3,Aave V3,Lending,12362956708.09077,809152804,809152804,104090984,104090984,10478944533,941332121,124006899
2026-08-29,aave-v4,Aave V4,Lending,208683513.86988947,859010,2049272.2222222222,118404,284325.39473684214,32737627,569288.1451612903,69579.59677419355
2026-08-29,abel-finance,ABEL Finance,Lending,94806.71869392975,,,,,103538,,
2026-08-29,accountable,Accountable,Uncollateralized Lending,307462287.1879824,11597261,15336957.481884057,456028.9600000001,603081.7768115944,195636682,10518159.621621622,395778.29945945943
2026-08-29,accumulated-finance-lending,Accumulated Finance Lending,Lending,89233.51711764508,,,,,149771,,
2026-08-29,acumen,Acumen,Lending,0,,,,,,,
2026-08-29,affluent,Affluent,Lending,584998.0633497038,502107,520650.72443181823,7432.9400000000005,7707.451988636364,1916315,479196,6891
2026-08-29,agave,Agave,Lending,5290.053836746672,,,,,5405,,
2026-08-29,agile-finance,Agile Finance,Lending,0,,,,,0,,
2026-08-29,agora,Agora,Lending,0,,,,,0,,
2026-08-29,aimstrong,AImstrong,Lending,15.050807240018447,,,,,14,,
2026-08-29,ajna-v1,Ajna V1,Lending,178280.62641763908,32753,32753,29959.5,29959.5,59,318.71376811594206,216.8840579710145
2026-08-29,ajna-v2,Ajna V2,Lending,31869.45409020384,14743.43,14989.838300835656,7844.48,7975.585515320334,30112,14220,899
2026-08-29,algofi-lend,Algofi Lend,Lending,345.52427736787354,,,,,401,,
2026-08-29,alien-finance,Alien Finance,Lending,0,,,,,0,,
2026-08-29,alkemi,Alkemi,Lending,0,,,,,,,
2026-08-29,aloe,Aloe,Lending,0,,,,,0,,
2026-08-29,alpaca-finance-2.0,Alpaca Finance 2.0,Lending,558291.7558590561,,,,,593648,,
2026-08-29,alphafi-lending,AlphaFi Lending,Lending,54907374.905757405,2016413,4066247.209944751,434734,876673.5359116022,,3816087.1666666665,666275.0555555555
2026-08-29,alphalend,AlphaLend,Lending,0,4266819,5832917.359550562,1008145,1378175.7490636704,59192710,4779421,1427859
2026-08-29,alta-finance,ALTA Finance,RWA Lending,105617.15116741207,,,,,105587,,
2026-08-29,altitude.fi,Altitude.Fi,Lending,258292.02491462612,,,,,2503933,,
2026-08-29,altr-lend,Altr Lend,Lending,0,,,,,0,,
2026-08-29,ambit-finance,Ambit Finance,Lending,11351.148061783366,,,,,12707,,
2026-08-29,ammalgam-dlex,Ammalgam DLEX,Lending,52870.910025170284,128.65999999999997,886.0547169811318,1.3900000000000001,169.11666666666667,,,
2026-08-29,amphora,Amphora,Lending,0,,,,,,,
2026-08-29,amply-finance,Amply Finance,Lending,97249.07227202685,,,,,173659,,
2026-08-29,amy-finance,Amy Finance,Lending,0,,,,,,,
2026-08-29,anchor,Anchor,Lending,0,,,,,,,
2026-08-29,annex,Annex,Lending,0,,,,,0,,
