date,total_active_loans,total_tvl,utilization,borrowed_venues,tvl_venues
2018-09-27,3390,92706,0.03656721,1,1
2018-09-28,9516,1666951,0.00570863,1,1
2018-09-29,38128,2546749,0.01497124,1,1
2018-09-30,42097,2871881,0.01465834,1,1
2018-10-01,47477,3163171,0.01500931,1,1
2018-10-02,49685,3182250,0.01561317,1,1
2018-10-03,50595,3214290,0.01574065,1,1
2018-10-04,47758,2880069,0.01658224,1,1
2018-10-05,50517,2737605,0.01845299,1,1
2018-10-06,52898,2771518,0.01908629,1,1
2018-10-07,51005,2759357,0.01848438,1,1
2018-10-08,49778,2447623,0.02033728,1,1
2018-10-09,53136,2504049,0.02122003,1,1
2018-10-10,60786,2530048,0.02402563,1,1
2018-10-11,63952,2525095,0.02532657,1,1
2018-10-12,54803,2187035,0.02505813,1,1
2018-10-13,58011,2254928,0.02572632,1,1
2018-10-14,59328,2283336,0.02598304,1,1
2018-10-15,56391,2241770,0.02515468,1,1
2018-10-16,60417,2366345,0.02553178,1,1
2018-10-17,64442,2441610,0.02639324,1,1
2018-10-18,353028,2982430,0.11836925,1,1
2018-10-19,172110,2935186,0.05863683,1,1
2018-10-20,175590,3149009,0.05576040,1,1
2018-10-21,176682,3180800,0.05554640,1,1
2018-10-22,181537,3163527,0.05738437,1,1
2018-10-23,186014,3305183,0.05627949,1,1
2018-10-24,189531,3321894,0.05705510,1,1
2018-10-25,192985,3614035,0.05339876,1,1
2018-10-26,162875,3557918,0.04577818,1,1
2018-10-27,122539,3565522,0.03436776,1,1
2018-10-28,142084,3466812,0.04098405,1,1
2018-10-29,153604,3578887,0.04291949,1,1
2018-10-30,128193,3359281,0.03816084,1,1
2018-10-31,130591,3407850,0.03832064,1,1
2018-11-01,127134,3404064,0.03734771,1,1
2018-11-02,131566,3483947,0.03776349,1,1
2018-11-03,131821,3068829,0.04295482,1,1
2018-11-04,192393,3891519,0.04943905,1,1
2018-11-05,180486,3597734,0.05016658,1,1
2018-11-06,178772,3627930,0.04927658,1,1
2018-11-07,183916,3756933,0.04895376,1,1
2018-11-08,185533,3664174,0.05063433,1,1
2018-11-09,143183,3463691,0.04133827,1,1
2018-11-10,115481,3359309,0.03437641,1,1
2018-11-11,126879,3457620,0.03669547,1,1
2018-11-12,129311,3323507,0.03890800,1,1
2018-11-13,334967,3148612,0.10638561,1,1
2018-11-14,328234,3118818,0.10524308,1,1
2018-11-15,92958,2922890,0.03180345,1,1
2018-11-16,92675,2847874,0.03254182,1,1
2018-11-17,93645,2831932,0.03306753,1,1
2018-11-18,92381,2758615,0.03348818,1,1
2018-11-19,94262,2783005,0.03387058,1,1
2018-11-20,80050,2244211,0.03566955,1,1
2018-11-21,744119,1633304,0.45559124,1,1
2018-11-22,1075988,1970182,0.54613635,1,1
2018-11-23,1040621,3441249,0.30239631,1,1
2018-11-24,1273653,3669394,0.34710173,1,1
2018-11-25,1738979,3392858,0.51254105,1,1
2018-11-26,1936659,4305763,0.44978300,1,1
2018-11-27,1558478,4148602,0.37566342,1,1
2018-11-28,1394953,4725888,0.29517267,1,1
2018-11-29,1783875,5605412,0.31824155,1,1
