date,protocol,borrow_interest_usd,average_active_loans_usd,gross_profit_usd
2023-10,aave,9170000,2585807974.22,1560000
2023-10,compound,2260000,876829967.71,426000
2023-10,kamino,33,27925,8
2023-11,aave,11770000,2894667071.81,1980000
2023-11,compound,2730000,895702308.51,687990
2023-11,kamino,3020,1231451.07,115
2023-12,aave,16770000,3287182575.61,3020000
2023-12,compound,3590000,954286623.85,903890
2023-12,kamino,130100,41664223.17,5290
2024-01,aave,16400000,3565768462.34,2940000
2024-01,compound,3410000,899670458.65,969480
2024-01,kamino,415000,98194714.17,4550
2024-02,aave,19030000,4135133765.53,3080000
2024-02,compound,2700000,901852238.81,737860
2024-02,fluid,6120,20964207.4,147140
2024-02,kamino,1010000,198454713.82,8180
2024-02,morpho,98400,1029603582.67,0
2024-03,aave,39110000,5673480137.22,5870000
2024-03,compound,4630000,984175514.48,1170000
2024-03,fluid,582790,89297802.54,207840
2024-03,kamino,2810000,398515869.95,693480
2024-03,morpho,813260,1060672137.59,0
2024-04,aave,30540000,5696961493.8,5660000
2024-04,compound,2550000,917559668.93,635450
2024-04,fluid,3900000,199275506.2,288840
2024-04,kamino,3220000,465734421.09,440510
2024-04,morpho,5680000,987807595.62,0
2024-05,aave,28310000,6055772654.83,5250000
2024-05,compound,2390000,905127608.56,576010
2024-05,fluid,3490000,285613299.11,506120
2024-05,kamino,3380000,481506024.11,290020
2024-05,morpho,4940000,949435407.91,0
2024-06,aave,37850000,7670328891.16,7310000
2024-06,compound,2160000,961998386.32,452540
2024-06,fluid,3600000,350670442.15,517000
2024-06,kamino,4520000,618909793.37,907700
2024-06,morpho,5570000,1105746853.8,0
2024-07,aave,32260000,8040714528.92,5610000
2024-07,compound,2120000,879879417.01,427030
2024-07,fluid,1440000,319449878.45,310360
2024-07,kamino,4400000,560567016.87,972450
2024-07,morpho,4220000,1168797606.1,0
2024-07,spark-lend,6390000,1635441920.54,58090
2024-08,aave,25080000,7462859098.15,6000000
2024-08,compound,765280,738785960.1,150050
2024-08,euler,10,1629.63,1
2024-08,fluid,1110000,298530522.84,265650
2024-08,kamino,4600000,583895659.71,1540000
2024-08,morpho,2700000,892363730.96,0
2024-08,spark-lend,7390000,1554908357.91,313910
2024-09,aave,23060000,7651358629.57,4110000.0000000005
2024-09,compound,640280,790130748.18,109940
2024-09,euler,1880,1164253.52,176
2024-09,fluid,945510,342350847.58,213950
2024-09,kamino,3510000,650336316.09,884330
2024-09,morpho,2700000,788509810.19,0
2024-09,spark-lend,6650000,1483191615.77,72400
2024-10,aave,30330000,8661843401.67,4940000
2024-10,compound,850110,828181114.46,148560
2024-10,euler,10100,3887992.66,869
2024-10,fluid,1190000,335106110.06,230640
2024-10,kamino,5110000,825550833.2,1070000
2024-10,morpho,2620000,800740136.86,0
2024-10,spark-lend,6440000,1489621898.57,70420
2024-11,aave,47940000,11001469013.63,7760000
2024-11,compound,1040000,908088451.14,174010
2024-11,euler,66130,20049243.07,6300
2024-11,fluid,2280000,475540371.76,497740
2024-11,kamino,9540000,1136467658.6,3030000
2024-11,morpho,5830000,1031311312.54,0
2024-11,spark-lend,9960000,2185824002.22,99520
2024-12,aave,86880000,14765685345.63,13210000
2024-12,compound,1990000,1023697918.76,338200
2024-12,euler,370650,48586157.85,26410
2024-12,fluid,3970000,646456418.28,1040000
2024-12,kamino,13340000,1203471332.14,3860000
2024-12,morpho,11690000,1688365762.19,0
2024-12,spark-lend,18570000,2765221391.57,135010
2025-01,aave,74960000,14698433444.19,11320000
2025-01,compound,1790000,1080390354.73,307400
2025-01,euler,972720,100691771.73,43650
2025-01,fluid,3760000,721016118.19,774020
2025-01,kamino,10640000,1281483883.01,3980000
2025-01,morpho,10670000,2256680314.09,0
2025-01,spark-lend,14520000,2051607702.68,108570
2025-02,aave,47900000,13023984060.06,9390000
2025-02,compound,3340000,1070111610.3,193130
2025-02,euler,830680,146791336.38,38870
2025-02,fluid,3220000,713012674.79,799610
2025-02,kamino,9360000,1334295295.99,3560000
2025-02,morpho,9180000,2180502508.23,0
2025-02,spark-lend,9050000,1719775170.36,118180
2025-03,aave,37080000,11248480704.17,6420000
2025-03,compound,3660000,918267610.09,93600
2025-03,euler,1760000,366366144.88,86320
2025-03,fluid,2190000,631133523.97,363590
2025-03,kamino,6300000,1091221850.42,2450000
2025-03,morpho,6870000,1818265485.4,0
2025-03,spark-lend,6360000,1485438296.12,86070
2025-04,aave,30320000,10793994082.85,5330000
2025-04,compound,2950000,834994770.49,61560
2025-04,euler,2250000,558105959.49,120180
2025-04,fluid,1830000,570310397.78,354400
2025-04,kamino,6750000,1196403865.16,2220000
2025-04,morpho,5090000,1720453422.07,0
2025-04,spark-lend,4760000,1333920069.65,205290
2025-05,aave,44660000,14623504104.47,6600000
2025-05,compound,3430000,976460690.74,79230
2025-05,euler,3990000,814159682.34,213590
2025-05,fluid,4380000,800996375.38,633480
2025-05,kamino,9280000,1508338592.57,2140000
2025-05,morpho,6280000,1775775001.12,0
2025-05,spark-lend,5230000,1487981732.4,89760
2025-06,aave,52900000,16418031234.62,7810000
2025-06,compound,3700000,1001482526.91,111830
2025-06,euler,4720000,995060240.98,217220
2025-06,fluid,4200000,980259062.87,575650
2025-06,kamino,8490000,1477178164.28,1850000
2025-06,morpho,7970000,2178107881.57,0
2025-06,spark-lend,5160000,1641849473.25,287090
2025-07,aave,73630000,20360165651.02,10690000
2025-07,compound,5520000,1100685529.01,165720
2025-07,euler,6800000,1289858877.39,301090
2025-07,fluid,4120000,1137055913,1010000
2025-07,kamino,10110000,1642323963.43,1780000
2025-07,morpho,12090000,2720894803.21,0
2025-07,spark-lend,6890000,2011471984.48,588220
2025-08,aave,104320000,26934947053.85,15320000
2025-08,compound,4980000,1139746530.27,175350
2025-08,euler,7970000,1426414160.31,345770
2025-08,fluid,5570000,1408118903.65,1520000
2025-08,jupiter-lend,153430,82128032.92,7410
2025-08,kamino,10110000,1739888386.16,1580000
2025-08,morpho,18360000,3299702418.96,0
2025-08,spark-lend,7610000,2252433242.93,653490
2025-09,aave,110400000,29058037050.98,15390000
2025-09,compound,4680000,1161532045.56,98720
2025-09,euler,8990000,1510307913.85,643720
2025-09,fluid,6120000,1558941225.66,1500000
2025-09,jupiter-lend,2470000,520602265.67,134180
2025-09,kamino,9980000,1732861400.75,1460000
2025-09,morpho,22510000,4222899012.88,0
2025-09,spark-lend,7220000,2230098837.91,625870
2025-10,aave,98780000,27254491860.02,15080000
2025-10,compound,4420000,1181359851.08,102460
2025-10,euler,10340000,1734774697.39,818800
2025-10,fluid,8570000,2021537304.72,1580000
2025-10,jupiter-lend,2880000,581616844.38,159860
2025-10,kamino,8250000,1597893484.79,1250000
2025-10,morpho,21110000,4055999614.44,0
2025-10,spark-lend,8240000,2482411031.99,677780
2025-11,aave,78990000,22841640176.26,12050000
2025-11,compound,3400000,965231711.47,72320
2025-11,euler,7650000,1302601249.98,534020
2025-11,fluid,7350000,1608317112.42,1400000
2025-11,jupiter-lend,2340000,570047081.37,145960
2025-11,kamino,6170000,1331947645.81,881250
2025-11,morpho,16920000,3480289715.77,0
2025-11,spark-lend,6530000,2016394154.7,452230
2025-12,aave,68810000,21705606626.83,8700000
2025-12,compound,3550000,911164593.74,888660
2025-12,euler,4450000,1119352348.04,303770
2025-12,fluid,5220000,1493633048.33,1110000
2025-12,jupiter-lend,2270000,604221119.95,141100
2025-12,kamino,5770000,1276236092.61,880780
2025-12,morpho,11880000,3031446112.66,0
2025-12,spark-lend,4240000,1334470874.13,262500
2026-01,aave,71440000,23250825457.76,10120000
2026-01,compound,3210000,883934953.36,534760
2026-01,euler,3520000,966631190.32,233520
2026-01,fluid,4920000,1450958032.76,1270000
2026-01,jupiter-lend,2670000,665138433.23,133580
2026-01,kamino,5710000,1321995606.96,855750
2026-01,morpho,13340000,3489397831.56,0
2026-01,spark-lend,4740000,1483214756.42,318450
2026-02,aave,49820000,18061274950.12,8850000
2026-02,compound,1540000,606358328.88,79330
2026-02,euler,2520000,764102717.23,160460
2026-02,fluid,2950000,1014023533.25,848950
2026-02,jupiter-lend,2110000,652414407.04,105610
2026-02,kamino,4320000,1071538855.41,787910
2026-02,morpho,9340000,3153602056.31,0
2026-02,spark-lend,3540000,1284652831.14,257250
2026-03,aave,44400000,17036277578.97,6390000
2026-03,compound,1510000,550032178.94,46390
2026-03,euler,2400000,781388860.21,153390
2026-03,fluid,2640000,879049999.99,622580
2026-03,jupiter-lend,2490000,678787804,124720
2026-03,kamino,4560000,1154778546.95,710940
2026-03,morpho,11150000,3752056892.83,0
2026-03,spark-lend,2860000,982000677.95,176210
2026-04,aave,62290000,16155587532.8,8390000
